"Building No","State","Building","Floor","Workpoints","NLA (from lease)","GLA","Calculated Area","Bill Vacant Space","Cost Centre","Notes","Sequence"
"44100829","ACT","60 Marcus Clarke Street","1","67","1518.000000000","1518.000000000","1533.366590625000000000","","","","1"
"45025687","New South Wales","2 Chifley Tower, Sydney","13","177","1847.000000000","1847.000000000","2036.198621025000000000","","","","13"
"45025337","New South Wales","255 Elizabeth Street, Sydney","1","153","421.000000000","421.000000000","2293.282285875000000000","","","","1"
"45025337","New South Wales","255 Elizabeth Street, Sydney","2","149","667.000000000","667.000000000","2373.216064875000000000","","","Room over looking Elizabeth St North area is being used as meeting room. That meeting room is currently a project room till Mid Sept. Contact Danielle Ryan.","2"
"45020002","New South Wales","275 Kent Street, Sydney","B2","0","0.000000000","0.000000000","0.000000000000000000","","","","-4"
"45020002","New South Wales","275 Kent Street, Sydney","B1","0","0.000000000","0.000000000","0.000000000000000000","","","","-3"
"45020002","New South Wales","275 Kent Street, Sydney","LG","0","0.000000000","0.000000000","0.000000000000000000","","","","-2"
"45020002","New South Wales","275 Kent Street, Sydney","G","0","0.000000000","0.000000000","0.000000000000000000","","","","-1"
"45020002","New South Wales","275 Kent Street, Sydney","1","209","3914.000000000","3914.000000000","5005.807922475000000000","","","This is a secure floor29/04/09 There are some workstations that are not mapped- due to questions wi","1"
"45020002","New South Wales","275 Kent Street, Sydney","2","362","1098.000000000","1098.000000000","4415.227627725000000000","","","This is a secure floor. Kent Street is a Trading Room floor. The floor has it's own UPS.","2"
"45020002","New South Wales","275 Kent Street, Sydney","3","359","3643.000000000","3643.000000000","4759.835630625000000000","","","This is a secure floor","3"
"45020002","New South Wales","275 Kent Street, Sydney","5","128","2640.000000000","2640.000000000","3177.523632240000000000","","","","5"
"45020002","New South Wales","275 Kent Street, Sydney","6","238","2618.000000000","2618.000000000","3183.467785650000000000","","","Sussex Street side is secure","6"
"45020002","New South Wales","275 Kent Street, Sydney","7","116","2567.000000000","2567.000000000","3160.071609750000000000","","","","7"
"45020002","New South Wales","275 Kent Street, Sydney","8","262","2591.000000000","2591.000000000","3121.833316500000000000","","","","8"
"45020002","New South Wales","275 Kent Street, Sydney","9","221","2589.000000000","2589.000000000","3291.698604150000000000","","","BT Flight Deck (IT & Data Support) is located on Sussex Street side. This room is secure.","9"
"45020002","New South Wales","275 Kent Street, Sydney","10","264","2648.000000000","2648.000000000","3130.788108150000000000","","","","10"
"45020002","New South Wales","275 Kent Street, Sydney","11","262","2678.000000000","2678.000000000","3274.062073200000000000","","","","11"
"45020002","New South Wales","275 Kent Street, Sydney","12","246","2688.000000000","2688.000000000","3389.553589950000000000","","","","12"
"45020002","New South Wales","275 Kent Street, Sydney","13","262","2689.000000000","2689.000000000","3223.491225750000000000","","","","13"
"45020002","New South Wales","275 Kent Street, Sydney","14","231","2677.000000000","2677.000000000","3264.635005830000000000","","","","14"
"45020002","New South Wales","275 Kent Street, Sydney","15","120","2704.000000000","2704.000000000","3390.073274295000000000","","","","15"
"45020002","New South Wales","275 Kent Street, Sydney","16","268","1349.000000000","1349.000000000","3152.210076000000000000","","","Sussex Street side is secure (P & P)","16"
"45020002","New South Wales","275 Kent Street, Sydney","17","238","2550.000000000","2550.000000000","3068.642191500000000000","","","","17"
"45020002","New South Wales","275 Kent Street, Sydney","18","265","2646.000000000","2646.000000000","3024.442581750000000000","","","","18"
"45020002","New South Wales","275 Kent Street, Sydney","19","234","2668.000000000","2668.000000000","3244.467057615000000000","","","","19"
"45020002","New South Wales","275 Kent Street, Sydney","20","266","2672.000000000","2672.000000000","3178.743573240000000000","","","","20"
"45020002","New South Wales","275 Kent Street, Sydney","21","24","2649.000000000","2649.000000000","3013.350804000000000000","","","CEO & EO are located on Sussex Street side","21"
"45020002","New South Wales","275 Kent Street, Sydney","22","0","1.000000000","1.000000000","1843.523959500000000000","","","","22"
"45020002","New South Wales","275 Kent Street, Sydney","23","0","1.000000000","1.000000000","2021.985983790000000000","","","","23"
"45020002","New South Wales","275 Kent Street, Sydney","24","146","1871.000000000","1871.000000000","1906.357442220000000000","","","This floor has been mapped for the restack happening on 29/5/09","24"
"45020002","New South Wales","275 Kent Street, Sydney","25","155","1716.000000000","1716.000000000","2154.947541390000000000","","","","25"
"45020002","New South Wales","275 Kent Street, Sydney","26","184","1811.000000000","1811.000000000","2140.004004975000000000","","","","26"
"45020002","New South Wales","275 Kent Street, Sydney","27","179","1834.000000000","1834.000000000","2137.165754400000000000","","","","27"
"45020002","New South Wales","275 Kent Street, Sydney","28","182","1831.000000000","1831.000000000","2093.438695500000000000","","","Call Centre on Kent Street side uses Avaya phones. This floor has Mircrofibre Optic Cabling to suppo","28"
"45020002","New South Wales","275 Kent Street, Sydney","29","185","1834.000000000","1834.000000000","2088.282334500000000000","","","","29"
"45020002","New South Wales","275 Kent Street, Sydney","30","153","1833.000000000","1833.000000000","2289.771953280000000000","","","","30"
"45020002","New South Wales","275 Kent Street, Sydney","31","186","1833.000000000","1833.000000000","2144.031184800000000000","","","Example Floor for Mapping","31"
"45020002","New South Wales","275 Kent Street, Sydney","32","98","1833.000000000","1833.000000000","2157.664341510000000000","","","This is Project Space which is bookable through Property","32"
"45025677","New South Wales","341 George St","MEZZ","48","1.000000000","1.000000000","1704.032770500000000000","","","","0"
"45025608","New South Wales","60 Martin Place, Sydney","LG","0","0.000000000","0.000000000","0.000000000000000000","","","","-1"
